Date,Description,Original Description,Category,Amount,Status
2024-06-10,"Gifts","360 GIFTS                Orlando      FL",Shopping,-27.68,Posted
2024-06-10,"Cactus Cantina","CACTUS CANTINA #3        ORANGE BEACH AL",Restaurants,-26.87,Posted
2024-06-10,"Lockers Orlando","UNIVERSAL FL/LOCKERS     ORLANDO      FL",Business Services,-25.00,Posted
2024-06-10,"McDonald's","MCDONALD'S F35242        COTTONDALE   FL",Fast Food,-20.93,Posted
2024-06-10,"Flora Bama","FLORA - BAMA             850-4920611  FL",Restaurants,-20.50,Posted
2024-06-10,"Walgreens","WALGREENS STORE 5501 S   ORLANDO      FL",Pharmacy,-19.92,Posted
2024-06-10,"Flora Bama","FLORA - BAMA             850-4920611  FL",Restaurants,-13.50,Posted
2024-06-10,"Love's Travel Stops","Love's #0724 Inside      LAKE CITY    FL",Gas,-13.14,Posted
2024-06-10,"Transfer from Venmo","VENMO            CASHOUT    ***********4406",Transfer,105.00,Posted
2024-06-07,"Publix","PUBLIX SUPER MAR 25771   ORANGE BEACH AL",Groceries,-82.03,Posted
2024-06-07,"Buc-ee's","BUC-EE'S #               ROBERTSDALE  AL",Fast Food,-18.51,Posted
2024-06-07,"Easi Payroll","EASI             PAYROLL    ***********0335",Paycheck,1995.54,Posted
2024-06-06,"Heroku","HEROKU* MAY-94961694     WWW.HEROKU.COCA",Hosting,-41.00,Posted
2024-06-06,"Ms Circuit Jackson","HINDS CO  MS CIRCUIT CL  JACKSON      MS",Uncategorized,-36.00,Posted
2024-06-06,"Hinds Co Fee","HINDS CO SVC FEE         FORT WORTH   TX",Fees & Charges,-2.00,Posted
2024-06-05,"The Pointe Sigonfile","The Pointe 3182- SIGONFILE  ***********PXGG",Gas,-1094.86,Posted
2024-06-05,"Office Depot","OFFICE DEPOT 00 4950 I-  JACKSON      MS",Office Supplies,-57.22,Posted
2024-06-04,"El Ranchito of Madison","EL RANCHITO OF MADISON   601-6051488  MS",Restaurants,-41.82,Posted
2024-06-04,"Amazon","AMZN Mktp US*QT2I55UN3   Amzn.com/billWA",Shopping,-22.46,Posted
2024-06-04,"Ice & Vice","SQ *ICE & VICE           Madison      MS",Business Services,-12.80,Posted
2024-06-04,"Ice & Vice","SQ *ICE & VICE           Madison      MS",Business Services,-8.87,Posted
2024-06-03,"Credit Card Payment","CARDMEMBER SERV  WEB PYMT   ***********7177",Credit Card Payment,-213.80,Posted
2024-06-03,"Discover Credit Card","DISCOVER         E-PAYMENT  ***********2160",Credit Card Payment,-168.82,Posted
2024-06-03,"Transfer to Venmo","VENMO            PAYMENT    ***********6423",Transfer,-150.00,Posted
2024-06-03,"Apple","PAYPAL           INST XFER  ***********BILL",Entertainment,-2.99,Posted
2024-06-03,"Target","TARGET T-1920            Flowood      MS",Shopping,-65.66,Posted
2024-06-03,"Google Ads","GOOGLE *ADS9905845978    cc@google.comCA",Business Services,-39.47,Posted
2024-06-03,"Raising Cane's","RAISING CANES 0322       MADISON      MS",Fast Food,-33.75,Posted
2024-06-03,"Chillin on the Rez","TST* CHILLIN ON THE REZ  Brandon      MS",Restaurants,-14.25,Posted
